hscode,mo_ta,Ngay_xac_nhan
40011019,- - - Loại khác,26/09/2023 0:00:00
40011021,- - - Mủ cao su cô đặc bằng phương pháp ly tâm(SEN),26/09/2023 0:00:00
40011029,- - - Loại khác,26/09/2023 0:00:00
40012110,- - - RSS hạng 1 (SEN),26/09/2023 0:00:00
40012120,- - - RSS hạng 2 (SEN),26/09/2023 0:00:00
40012130,- - - RSS hạng 3 (SEN),26/09/2023 0:00:00
40012140,- - - RSS hạng 4 (SEN),26/09/2023 0:00:00
40012150,- - - RSS hạng 5 (SEN),26/09/2023 0:00:00
40012190,- - - Loại khác,26/09/2023 0:00:00
40012210,- - - TSNR 10 (SEN),26/09/2023 0:00:00
40012220,- - - TSNR 20 (SEN),26/09/2023 0:00:00
40012230,- - - TSNR L (SEN),26/09/2023 0:00:00
40012240,- - - TSNR CV (SEN),26/09/2023 0:00:00
40012250,- - - TSNR GP (SEN),26/09/2023 0:00:00
40012260,- - - TSNR 5 (SEN),26/09/2023 0:00:00
40012290,- - - Loại khác,26/09/2023 0:00:00
40012910,- - - Cao su dạng tờ được làm khô bằng không khí(SEN),26/09/2023 0:00:00
40012920,- - - Crếp từ mủ cao su (SEN),26/09/2023 0:00:00
40012930,- - - Crếp làm đế giày (SEN),26/09/2023 0:00:00
40012950,- - - Crếp loại khác,26/09/2023 0:00:00
40012960,- - - Cao su chế biến cao cấp,26/09/2023 0:00:00
40012970,- - - Váng cao su,26/09/2023 0:00:00
40012980,"- - - Loại tận thu (trên cây, dưới đất hoặc loại đã xông khói) và phần thừa lại trên chén(SEN)",26/09/2023 0:00:00
40012994,- - - - Cao su tự nhiên đã khử protein (DPNR) (SEN),26/09/2023 0:00:00
40012996,- - - - Loại khác,26/09/2023 0:00:00
40012999,- - - Loại khác,26/09/2023 0:00:00
40013020,- - Dạng nguyên sinh,26/09/2023 0:00:00
40013090,- - Loại khác,26/09/2023 0:00:00
40021100,- - Dạng latex (dạng mủ cao su),26/09/2023 0:00:00
40021910,"- - - Dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn",26/09/2023 0:00:00
40021990,- - - Loại khác,26/09/2023 0:00:00
40022010,- - Dạng nguyên sinh,26/09/2023 0:00:00
40022090,- - Loại khác,26/09/2023 0:00:00
40023110,"- - - Dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn",26/09/2023 0:00:00
40023190,- - - Loại khác,26/09/2023 0:00:00
40023910,"- - - Dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn",26/09/2023 0:00:00
40023990,- - - Loại khác,26/09/2023 0:00:00
40024100,- - Dạng latex (dạng mủ cao su),26/09/2023 0:00:00
40024910,- - - Dạng nguyên sinh,26/09/2023 0:00:00
40024990,- - - Loại khác,26/09/2023 0:00:00
40025100,- - Dạng latex (dạng mủ cao su),26/09/2023 0:00:00
40025910,- - - Dạng nguyên sinh,26/09/2023 0:00:00
40025990,- - - Loại khác,26/09/2023 0:00:00
40026010,- - Dạng nguyên sinh,26/09/2023 0:00:00
40026090,- - Loại khác,26/09/2023 0:00:00
40027010,- - Dạng nguyên sinh,26/09/2023 0:00:00
40027090,- - Loại khác,26/09/2023 0:00:00
40028010,- - Hỗn hợp mủ cao su tự nhiên với mủ cao su tổng hợp,26/09/2023 0:00:00
40028090,- - Loại khác,26/09/2023 0:00:00
40029100,- - Dạng latex (dạng mủ cao su),26/09/2023 0:00:00
40029930,- - - Cao su tự nhiên đã epoxy hóa (ENR),26/09/2023 0:00:00
40029940,"- - - Loại khác, dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải chưa lưu hóa, chưa pha trộn",26/09/2023 0:00:00
40029990,- - - Loại khác,26/09/2023 0:00:00
40030000,"Cao su tái sinh ở dạng nguyên sinh hoặc dạng tấm, tờ hoặc dải.",26/09/2023 0:00:00
40040000,"Phế liệu, phế thải và mảnh vụn từ cao su (trừ cao su cứng) và bột và hạt thu được từ chúng",26/09/2023 0:00:00
40051010,- - Của nhựa tự nhiên,26/09/2023 0:00:00
40051090,- - Loại khác,26/09/2023 0:00:00
40052000,- Dạng hòa tan; dạng phân tán trừ các sản phẩm thuộc phân nhóm 4005.10,26/09/2023 0:00:00
40059110,- - - Của nhựa tự nhiên,26/09/2023 0:00:00
40059190,- - - Loại khác,26/09/2023 0:00:00
40059910,- - - Dạng latex (dạng mủ cao su),26/09/2023 0:00:00
40059920,- - - Cao su tự nhiên được pha trộn với các chất trừ carbon hoặc silica,26/09/2023 0:00:00
40059990,- - - Loại khác,26/09/2023 0:00:00
40061000,"- Dải ""camel-back"" dùng để đắp lại lốp cao su",26/09/2023 0:00:00
40069011,- - - Các sản phẩm,26/09/2023 0:00:00
40069019,- - - Loại khác,26/09/2023 0:00:00
40069090,- - Loại khác,26/09/2023 0:00:00
40070000,Chỉ sợi và dây bện bằng cao su lưu hóa,26/09/2023 0:00:00
40081110,"- - - Chiều dày trên 5 mm, có một mặt được lót vải dệt",26/09/2023 0:00:00
40081120,"- - - Loại khác, miếng, tấm ghép với nhau để lát nền và ốp tường",26/09/2023 0:00:00
40081190,- - - Loại khác,26/09/2023 0:00:00
40081900,- - Loại khác,26/09/2023 0:00:00
40082110,"- - - Chiều dày trên 5 mm, có một mặt được lót vải dệt",26/09/2023 0:00:00
40082120,"- - - Loại khác, miếng, tấm ghép với nhau để lát nền và ốp tường",26/09/2023 0:00:00
40082130,- - - Băng chắn nước (SEN),26/09/2023 0:00:00
40082140,- - - Tờ cao su dùng làm đế giày,26/09/2023 0:00:00
40082190,- - - Loại khác,26/09/2023 0:00:00
40082900,- - Loại khác,26/09/2023 0:00:00
40091100,- - Không kèm phụ kiện ghép nối,26/09/2023 0:00:00
40091210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN),26/09/2023 0:00:00
40091290,- - - Loại khác,26/09/2023 0:00:00
40092110,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN),26/09/2023 0:00:00
40092190,- - - Loại khác,26/09/2023 0:00:00
40092210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN),26/09/2023 0:00:00
40092290,- - - Loại khác,26/09/2023 0:00:00
40093110,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN),26/09/2023 0:00:00
40093191,"- - - - Ống dẫn nhiên liệu, ống dẫn nhiệt và ống dẫn nước, dùng cho xe gắn động cơ thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.11",26/09/2023 0:00:00
40093199,- - - - Loại khác,26/09/2023 0:00:00
40093210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN),26/09/2023 0:00:00
40093290,- - - Loại khác,26/09/2023 0:00:00
40094110,- - - Ống vòi cao su dùng cho bếp ga (SEN),26/09/2023 0:00:00
40094190,- - - Loại khác,26/09/2023 0:00:00
40094210,- - - Ống hút và xả bùn dùng trong khai thác mỏ(SEN),26/09/2023 0:00:00
40094220,- - - Ống vòi cao su dùng cho bếp ga (SEN),26/09/2023 0:00:00
40094290,- - - Loại khác,26/09/2023 0:00:00
40101100,- - Chỉ được gia cố bằng kim loại,26/09/2023 0:00:00
40101200,- - Chỉ được gia cố bằng vật liệu dệt,26/09/2023 0:00:00
40101900,- - Loại khác,26/09/2023 0:00:00
40103100,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), có gân hình chữ V, với chu vi ngoài trên 60 cm nhưng không quá 180 cm",26/09/2023 0:00:00
40103200,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), trừ băng truyền có gân hình chữ V, với chu vi ngoài trên 60 cm nhưng không quá 180 cm",26/09/2023 0:00:00
40103300,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), có gân hình chữ V, với chu vi ngoài trên 180 cm nhưng không quá 240 cm",26/09/2023 0:00:00
40103400,"- - Băng truyền liên tục có mặt cắt ngang hình thang (băng chữ V), trừ băng truyền có gân hình chữ V, với chu vi ngoài trên 180 cm nhưng không quá 240 cm",26/09/2023 0:00:00
40103500,"- - Băng truyền đồng bộ liên tục, có chu vi ngoài trên 60 cm nhưng không quá 150 cm",26/09/2023 0:00:00
40103600,"- - Băng truyền đồng bộ liên tục, có chu vi ngoài trên 150 cm nhưng không quá 198 cm",26/09/2023 0:00:00
40103900,- - Loại khác,26/09/2023 0:00:00
40111000,- Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua),26/09/2023 0:00:00
40112011,- - - Có chiều rộng không quá 230 mm và lắp vành có đường kính không quá 16 inch (SEN),26/09/2023 0:00:00
40112012,- - - Có chiều rộng không quá 230 mm và lắp vành có đường kính trên 16 inch (SEN),26/09/2023 0:00:00
40112013,- - - Có chiều rộng trên 230 mm nhưng không quá 385 mm (SEN),26/09/2023 0:00:00
40112019,- - - Loại khác,26/09/2023 0:00:00
40112090,- - Loại khác,26/09/2023 0:00:00
40113000,- Loại sử dụng cho phương tiện bay,26/09/2023 0:00:00
40114000,- Loại dùng cho xe môtô,26/09/2023 0:00:00
40115000,- Loại dùng cho xe đạp,26/09/2023 0:00:00
40117000,- Loại dùng cho xe và máy nông nghiệp hoặc lâm nghiệp,26/09/2023 0:00:00
40118011,"- - - Loại dùng cho xe kéo, máy thuộc nhóm 84.29 hoặc 84.30, xe nâng hàng, xe cút kít hoặc xe và máy xếp dỡ công nghiệp khác",26/09/2023 0:00:00
40118019,- - - Loại khác,26/09/2023 0:00:00
40118031,- - - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30,26/09/2023 0:00:00
40118039,- - - Loại khác,26/09/2023 0:00:00
40118040,"- - Lắp vành có đường kính trên 24 inch, loại khác",26/09/2023 0:00:00
40119010,- - Loại dùng cho xe thuộc Chương 87,26/09/2023 0:00:00
40119020,- - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30,26/09/2023 0:00:00
40119090,- - Loại khác,26/09/2023 0:00:00
40121100,- - Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua),26/09/2023 0:00:00
40121210,- - - Chiều rộng không quá 450 mm,26/09/2023 0:00:00
40121290,- - - Loại khác,26/09/2023 0:00:00
40121300,- - Loại sử dụng cho phương tiện bay,26/09/2023 0:00:00
40121920,- - - Loại dùng cho máy thuộc nhóm 84.27,26/09/2023 0:00:00
40121930,- - - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30,26/09/2023 0:00:00
40121941,- - - - Loại dùng cho máy kéo nông nghiệp hoặc lâm nghiệp,26/09/2023 0:00:00
40121949,- - - - Loại khác,26/09/2023 0:00:00
40121990,- - - Loại khác,26/09/2023 0:00:00
40122010,- - Loại sử dụng cho ô tô con (motor car) (kể cả loại ô tô chở người có khoang chở hành lý chung (station wagons) và ô tô đua),26/09/2023 0:00:00
40122021,- - - Chiều rộng không quá 450 mm,26/09/2023 0:00:00
40122029,- - - Loại khác,26/09/2023 0:00:00
40122030,- - Loại sử dụng cho phương tiện bay,26/09/2023 0:00:00
40122040,- - Loại dùng cho xe môtô,26/09/2023 0:00:00
40122050,- - Loại dùng cho xe đạp,26/09/2023 0:00:00
40122060,- - Loại dùng cho máy thuộc nhóm 84.29 hoặc 84.30,26/09/2023 0:00:00
40122071,- - - Loại dùng cho máy kéo nông nghiệp hoặc lâm nghiệp,26/09/2023 0:00:00
40122079,- - - Loại khác,26/09/2023 0:00:00
40122080,- - Loại dùng cho máy thuộc nhóm 84.27,26/09/2023 0:00:00
40122091,- - - Lốp trơn (SEN),26/09/2023 0:00:00
40122099,- - - Loại khác,26/09/2023 0:00:00
40129014,"- - - Lốp đặc có đường kính ngoài trên 250 mm, chiều rộng không quá 450 mm",26/09/2023 0:00:00
40129017,"- - - Lốp đặc có đường kính ngoài trên 250 mm, chiều rộng trên 450 mm",26/09/2023 0:00:00
40129019,- - - Loại khác,26/09/2023 0:00:00
40129021,- - - Chiều rộng không quá 450 mm,26/09/2023 0:00:00
40129022,- - - Có chiều rộng trên 450 mm,26/09/2023 0:00:00
40129071,- - - Chiều rộng không quá 450 mm (SEN),26/09/2023 0:00:00
40129072,- - - Có chiều rộng trên 450 mm (SEN),26/09/2023 0:00:00
40129080,- - Lót vành,26/09/2023 0:00:00
40129090,- - Loại khác,26/09/2023 0:00:00
40131011,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm,26/09/2023 0:00:00
40131019,- - - Dùng cho loại lốp có chiều rộng trên 450 mm,26/09/2023 0:00:00
40131021,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm,26/09/2023 0:00:00
40131029,- - - Dùng cho loại lốp có chiều rộng trên 450 mm,26/09/2023 0:00:00
40132000,- Loại dùng cho xe đạp,26/09/2023 0:00:00
40139011,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm,26/09/2023 0:00:00
40139019,- - - Dùng cho loại lốp có chiều rộng trên 450 mm,26/09/2023 0:00:00
40139020,- - Loại dùng cho xe môtô,26/09/2023 0:00:00
40139031,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm,26/09/2023 0:00:00
40139039,- - - Dùng cho loại lốp có chiều rộng trên 450 mm,26/09/2023 0:00:00
40139040,- - Loại sử dụng cho phương tiện bay,26/09/2023 0:00:00
40139091,- - - Dùng cho loại lốp có chiều rộng không quá 450 mm,26/09/2023 0:00:00
40139099,- - - Dùng cho loại lốp có chiều rộng trên 450 mm,26/09/2023 0:00:00
40141000,- Bao tránh thai,26/09/2023 0:00:00
40149010,- - Núm vú của bình cho trẻ em ăn và các loại tương tự,26/09/2023 0:00:00
40149040,- - Nút đậy dùng cho dược phẩm ,26/09/2023 0:00:00
40149050,- - Bao ngón tay,26/09/2023 0:00:00
40149090,- - Loại khác,26/09/2023 0:00:00
40151210,- - - Bằng cao su tự nhiên lưu hóa,26/09/2023 0:00:00
40151290,- - - Bằng cao su lưu hóa khác,26/09/2023 0:00:00
40151910,- - - Bằng cao su tự nhiên lưu hóa,26/09/2023 0:00:00
40151990,- - - Bằng cao su lưu hóa khác,26/09/2023 0:00:00
40159010,- - Tạp dề chì để chống phóng xạ,26/09/2023 0:00:00
40159020,- - Bộ đồ của thợ lặn,26/09/2023 0:00:00
40159090,- - Loại khác,26/09/2023 0:00:00
40161010,"- - Lót, đệm cho các sản phẩm may mặc hoặc cho các đồ phụ trợ của quần áo",26/09/2023 0:00:00
40161020,"- - Tấm, miếng ghép với nhau để lát nền và ốp tường",26/09/2023 0:00:00
40161090,- - Loại khác,26/09/2023 0:00:00
40169110,"- - - Tấm, đệm (mat)",26/09/2023 0:00:00
40169120,- - - Dạng tấm rời để ghép,26/09/2023 0:00:00
40169190,- - - Loại khác,26/09/2023 0:00:00
40169210,- - - Đầu tẩy (eraser tips),26/09/2023 0:00:00
40169290,- - - Loại khác,26/09/2023 0:00:00
40169310,- - - Loại dùng để cách điện cho các chân tụ điện (SEN),26/09/2023 0:00:00
40169320,"- - - Miếng đệm và vành khung tròn, loại dùng cho xe có động cơ thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.11",26/09/2023 0:00:00
40169390,- - - Loại khác,26/09/2023 0:00:00
40169400,"- - Đệm chống va cho tàu thuyền hoặc ụ tàu, có hoặc không thể bơm hơi",26/09/2023 0:00:00
40169500,- - Các sản phẩm có thể bơm hơi khác,26/09/2023 0:00:00
40169911,"- - - - Dùng cho xe thuộc nhóm 87.02, 87.03, 87.04 hoặc 87.05, trừ viền cao su quanh kính cửa",26/09/2023 0:00:00
40169912,- - - - Dùng cho xe thuộc nhóm 87.11,26/09/2023 0:00:00
40169913,"- - - - Viền cao su quanh kính cửa, dùng cho xe có động cơ thuộc nhóm 87.02, 87.03 hoặc 87.04",26/09/2023 0:00:00
40169915,"- - - - Dùng cho xe thuộc nhóm 87.09, 87.13, 87.15 hoặc 87.16",26/09/2023 0:00:00
40169916,- - - - Chắn bùn xe đạp (SEN),26/09/2023 0:00:00
40169917,- - - - Bộ phận của xe đạp (SEN),26/09/2023 0:00:00
40169918,- - - - Phụ kiện khác của xe đạp (SEN),26/09/2023 0:00:00
40169919,- - - - Loại khác,26/09/2023 0:00:00
40169920,- - - Bộ phận và phụ kiện của dù xoay thuộc nhóm 88.04,26/09/2023 0:00:00
40169930,- - - Dải cao su,26/09/2023 0:00:00
40169940,"- - - Tấm, miếng rời ghép với nhau để ốp tường",26/09/2023 0:00:00
40169951,- - - - Trục lăn cao su,26/09/2023 0:00:00
40169952,- - - - Cốt làm lốp (Tyre mould bladders)(SEN),26/09/2023 0:00:00
40169953,- - - - Nắp chụp cách điện,26/09/2023 0:00:00
40169954,- - - - Vòng và vỏ bọc bằng cao su sử dụng cho hệ thống dây điện của ô tô,26/09/2023 0:00:00
40169959,- - - - Loại khác,26/09/2023 0:00:00
40169960,- - - Lót đường ray (rail pad),26/09/2023 0:00:00
40169970,- - - Loại chịu lực xây dựng kể cả lực cầu,26/09/2023 0:00:00
40169991,- - - - Khăn trải bàn,26/09/2023 0:00:00
40169999,- - - - Loại khác,26/09/2023 0:00:00
40170010,"- Tấm, miếng ghép với nhau để lát nền và ốp tường",26/09/2023 0:00:00
40170020,- Các sản phẩm bằng cao su cứng khác,26/09/2023 0:00:00
40170090,- Loại khác,26/09/2023 0:00:00
41012000,"- Da sống nguyên con, chưa xẻ, khối lượng da một con không quá 8 kg khi làm khô đơn giản, 10 kg khi muối khô, hoặc 16 kg ở dạng tươi, dạng muối ướt hoặc được bảo quản cách khác",26/09/2023 0:00:00
41015000,"- Da sống nguyên con, khối lượng trên 16 kg",26/09/2023 0:00:00
41019010,- - Đã được chuẩn bị để thuộc,26/09/2023 0:00:00
41019090,- - Loại khác,26/09/2023 0:00:00
41021000,- Loại còn lông,26/09/2023 0:00:00
41022100,- - Đã được axit hóa,26/09/2023 0:00:00
41022900,- - Loại khác,26/09/2023 0:00:00
41032000,- Của loài bò sát,26/09/2023 0:00:00
41033000,- Của lợn,26/09/2023 0:00:00
41039000,- Loại khác,26/09/2023 0:00:00
41041110,"- - - Của động vật họ trâu bò, đã thuộc thực vật",26/09/2023 0:00:00
41041190,- - - Loại khác,26/09/2023 0:00:00
41041900,- - Loại khác,26/09/2023 0:00:00
41044100,"- - Da cật, chưa xẻ; da váng có mặt cật (da lộn)",26/09/2023 0:00:00
41044900,- - Loại khác,26/09/2023 0:00:00
41051000,- Ở dạng ướt (kể cả phèn xanh),26/09/2023 0:00:00
41053000,- Ở dạng khô (mộc),26/09/2023 0:00:00
41062100,- - Ở dạng ướt (kể cả phèn xanh),26/09/2023 0:00:00
41062200,- - Ở dạng khô (mộc),26/09/2023 0:00:00
41063100,- - Ở dạng ướt (kể cả phèn xanh),26/09/2023 0:00:00
41063200,- - Ở dạng khô (mộc),26/09/2023 0:00:00
41064000,- Của loài bò sát,26/09/2023 0:00:00
41069100,- - Ở dạng ướt (kể cả phèn xanh),26/09/2023 0:00:00
41069200,- - Ở dạng khô (mộc),26/09/2023 0:00:00
41071100,"- - Da cật, chưa xẻ",26/09/2023 0:00:00
41071200,- - Da váng có mặt cật (da lộn),26/09/2023 0:00:00
41071900,- - Loại khác,26/09/2023 0:00:00
41079100,"- - Da cật, chưa xẻ",26/09/2023 0:00:00
41079200,- - Da váng có mặt cật (da lộn),26/09/2023 0:00:00
41079900,- - Loại khác,26/09/2023 0:00:00
41120000,"Da thuộc đã được gia công thêm sau khi thuộc hoặc làm mộc, kể cả da giấy, của cừu hoặc cừu non, không có lông, đã hoặc chưa xẻ, trừ da thuộc nhóm 41.14",26/09/2023 0:00:00
41131000,- Của dê hoặc dê non,26/09/2023 0:00:00
41132000,- Của lợn,26/09/2023 0:00:00
41133000,- Của loài bò sát,26/09/2023 0:00:00
41139000,- Loại khác,26/09/2023 0:00:00
41141000,- Da thuộc dầu (kể cả da thuộc dầu kết hợp),26/09/2023 0:00:00
41142000,- Da láng và da láng bằng màng mỏng được tạo trước; da nhũ kim loại,26/09/2023 0:00:00
41151000,"- Da thuộc tổng hợp với thành phần cơ bản là da thuộc hoặc sợi da thuộc, dạng tấm, tấm mỏng hoặc dạng dải, có hoặc không ở dạng cuộn",26/09/2023 0:00:00
41152000,"- Da vụn và phế liệu khác từ da thuộc hoặc da tổng hợp, không phù hợp dùng cho sản xuất hàng da; bụi da, các loại bột da",26/09/2023 0:00:00
42010000,"Yên cương và bộ yên cương dùng cho các loại động vật (kể cả dây kéo, dây dắt, miếng đệm đầu gối, đai hoặc rọ bịt mõm, vải lót yên, túi yên, áo chó và các loại tương tự), làm bằng vật liệu bất kỳ",26/09/2023 0:00:00
42021110,"- - - Vali hoặc túi, cặp có kích thước tối đa 56cm x 45cm x 25cm",26/09/2023 0:00:00
42021190,- - - Loại khác,26/09/2023 0:00:00
42021211,- - - - Mặt ngoài bằng sợi lưu hóa(SEN),26/09/2023 0:00:00
42021219,- - - - Loại khác (SEN),26/09/2023 0:00:00
42021291,- - - - Mặt ngoài bằng sợi lưu hóa,26/09/2023 0:00:00
42021299,- - - - Loại khác,26/09/2023 0:00:00
42021920,- - - Mặt ngoài bằng bìa,26/09/2023 0:00:00
42021990,- - - Loại khác,26/09/2023 0:00:00
42022100,- - Mặt ngoài bằng da thuộc hoặc da thuộc tổng hợp,26/09/2023 0:00:00
42022210,- - - Mặt ngoài bằng tấm plastic,26/09/2023 0:00:00
42022220,- - - Mặt ngoài bằng vật liệu dệt,26/09/2023 0:00:00
42022900,- - Loại khác,26/09/2023 0:00:00
42023100,- - Mặt ngoài bằng da thuộc hoặc da thuộc tổng hợp,26/09/2023 0:00:00
42023200,- - Mặt ngoài bằng tấm plastic hoặc vật liệu dệt,26/09/2023 0:00:00
42023900,- - Loại khác,26/09/2023 0:00:00
42029111,- - - - Túi đựng đồ Bowling,26/09/2023 0:00:00
42029119,- - - - Loại khác,26/09/2023 0:00:00
42029190,- - - Loại khác,26/09/2023 0:00:00
42029210,"- - - Túi đựng đồ vệ sinh cá nhân, bằng tấm plastic",26/09/2023 0:00:00
42029220,- - - Túi đựng đồ Bowling,26/09/2023 0:00:00
42029290,- - - Loại khác,26/09/2023 0:00:00
42029910,- - - Mặt ngoài bằng sợi lưu hóa hoặc bìa,26/09/2023 0:00:00
42029990,- - - Loại khác,26/09/2023 0:00:00
42031000,- Hàng may mặc,26/09/2023 0:00:00
42032110,- - - Găng tay bóng chày và găng tay bóng mềm,26/09/2023 0:00:00
42032190,- - - Loại khác,26/09/2023 0:00:00
42032910,- - - Găng tay bảo hộ lao động,26/09/2023 0:00:00
42032990,- - - Loại khác,26/09/2023 0:00:00
42033000,- Thắt lưng và dây đeo súng,26/09/2023 0:00:00
42034000,- Đồ phụ trợ quần áo khác,26/09/2023 0:00:00
42050010,- Dây buộc giày; tấm lót (mats),26/09/2023 0:00:00
42050020,- Dây đai an toàn và dây bảo vệ dùng trong công nghiệp,26/09/2023 0:00:00
42050030,- Dây hoặc dây tết bằng da thuộc dùng cho đồ trang sức hoặc sản phẩm trang điểm cá nhân,26/09/2023 0:00:00
42050040,- Sản phẩm khác dùng cho máy móc hoặc thiết bị cơ khí hoặc mục đích kỹ thuật khác,26/09/2023 0:00:00
42050090,- Loại khác,26/09/2023 0:00:00
42060000,"Sản phẩm làm bằng ruột động vật (trừ ruột con tằm), bằng màng ruột già (dùng trong kỹ thuật dát vàng), bằng bong bóng hoặc bằng gân",26/09/2023 0:00:00
43011000,"- Của loài chồn vizôn, da nguyên con, có hoặc không có đầu, đuôi hoặc bàn chân",26/09/2023 0:00:00
43013000,"- Của các giống cừu như: Astrakhan, Broadtail, Caracul, Ba Tư và các giống cừu tương tự, cừu Ấn Độ, Trung Quốc, Mông Cổ hoặc Tây Tạng, da nguyên con, có hoặc không có đầu, đuôi hoặc bàn chân",26/09/2023 0:00:00
43016000,"- Của loài cáo, da nguyên con, có hoặc không có đầu, đuôi hoặc bàn chân",26/09/2023 0:00:00
43018000,"- Của loài động vật khác, da nguyên con, có hoặc không có đầu, đuôi hoặc bàn chân",26/09/2023 0:00:00
43019000,"- Đầu, đuôi, bàn chân và các mẩu hoặc các mảnh cắt khác, thích hợp cho việc thuộc da lông",26/09/2023 0:00:00
43021100,- - Của loài chồn vizôn,26/09/2023 0:00:00
43021900,- - Loại khác,26/09/2023 0:00:00
43022000,"- Đầu, đuôi, bàn chân và các mẩu hoặc các mảnh cắt, chưa ghép nối",26/09/2023 0:00:00
43023000,"- Loại da nguyên con và các mẩu hoặc các mảnh cắt của chúng, đã ghép nối",26/09/2023 0:00:00
43031000,- Hàng may mặc và đồ phụ trợ quần áo,26/09/2023 0:00:00
43039020,- - Sản phẩm dùng cho mục đích công nghiệp,26/09/2023 0:00:00
43039090,- - Loại khác,26/09/2023 0:00:00
43040010,- Da lông nhân tạo,26/09/2023 0:00:00
43040020,- Sản phẩm dùng cho mục đích công nghiệp,26/09/2023 0:00:00
43040091,- - Túi thể thao,26/09/2023 0:00:00
43040099,- - Loại khác,26/09/2023 0:00:00
44011100,- - Từ cây lá kim ,26/09/2023 0:00:00
44011200,- - Từ cây không thuộc loài lá kim ,26/09/2023 0:00:00
44012100,- - Từ cây lá kim ,26/09/2023 0:00:00
44012200,- - Từ cây không thuộc loài lá kim ,26/09/2023 0:00:00
44013100,- - Viên gỗ,26/09/2023 0:00:00
44013200,- - Đóng thành bánh (briquettes),26/09/2023 0:00:00
44013900,- - Loại khác,26/09/2023 0:00:00
44014100,- - Mùn cưa,26/09/2023 0:00:00
44014900,- - Loại khác,26/09/2023 0:00:00
44021000,- Của tre,26/09/2023 0:00:00
44022010,- - Than gáo dừa,26/09/2023 0:00:00
44022090,- - Loại khác,26/09/2023 0:00:00
44029000,- Loại khác,26/09/2023 0:00:00
44031110,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44031190,- - - Loại khác,26/09/2023 0:00:00
44031210,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44031290,- - - Loại khác,26/09/2023 0:00:00
44032110,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44032190,- - - Loại khác,26/09/2023 0:00:00
44032210,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44032290,- - - Loại khác,26/09/2023 0:00:00
44032310,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44032390,- - - Loại khác,26/09/2023 0:00:00
44032410,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44032490,- - - Loại khác,26/09/2023 0:00:00
44032510,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44032590,- - - Loại khác,26/09/2023 0:00:00
44032610,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44032690,- - - Loại khác,26/09/2023 0:00:00
44034110,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44034190,- - - Loại khác,26/09/2023 0:00:00
44034210,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44034290,- - - Loại khác,26/09/2023 0:00:00
44034910,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44034990,- - - Loại khác,26/09/2023 0:00:00
44039110,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44039190,- - - Loại khác,26/09/2023 0:00:00
44039310,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44039390,- - - Loại khác,26/09/2023 0:00:00
44039410,"- - - Cột sào, khúc gỗ xẻ và gỗ lạng",26/09/2023 0:00:00
44039490,- - - Loại khác,26/09/2023 0:00:00
