hscode,mota
#1,PHẦN I
#2,ĐỘNG VẬT SỐNG; CÁC SẢN PHẨM TỪ ĐỘNG VẬT
#3,Chú giải
#4,"1. Trong phần này, khi đề cập đến một giống hoặc một loài động vật, trừ khi có yêu cầu khác, cần phải kể đến cả giống hoặc loài động vật đó còn non."
#5,"2. Trừ khi có yêu cầu khác, trong toàn bộ Danh mục này bất cứ đề cập nào liên quan đến các sản phẩm ""được làm khô"" cũng bao gồm các sản phẩm được khử nước, làm bay hơi hoặc làm khô bằng đông lạnh."
#6,Chương 1
#7,Động vật sống
#8,Chú giải
#9,1. Chương này bao gồm tất cả các loại động vật sống trừ:
#10,"(a) Cá và động vật giáp xác, động vật thân mềm và động vật thủy sinh không xương sống khác, thuộc nhóm 03.01, 03.06, 03.07 hoặc 03.08;"
#11,(b) Vi sinh vật nuôi cấy và các sản phẩm khác thuộc nhóm 30.02; và
#12,(c) Động vật thuộc nhóm 95.08.
0101,"Ngựa, lừa, la sống"
#13,- Ngựa:
01012100,- - Loại thuần chủng để nhân giống
01012900,- - Loại khác
010130,- Lừa:
01013010,- - Loại thuần chủng để nhân giống
01013090,- - Loại khác
01019000,- Loại khác
0102,Động vật sống họ trâu bò
#14,- Gia súc:
01022100,- - Loại thuần chủng để nhân giống
010229,- - Loại khác:
#15,- - - Gia súc đực:
01022911,- - - - Bò thiến (SEN)
01022919,- - - - Loại khác
01022990,- - - Loại khác
#16,- Trâu:
01023100,- - Loại thuần chủng để nhân giống
01023900,- - Loại khác
010290,- Loại khác:
01029010,- - Loại thuần chủng để nhân giống
01029090,- - Loại khác
0103,Lợn sống
01031000,- Loại thuần chủng để nhân giống
#17,- Loại khác:
01039100,- - Khối lượng dưới 50 kg
01039200,- - Khối lượng từ 50 kg trở lên
0104,"Cừu, dê sống"
010410,- Cừu:
01041010,- - Loại thuần chủng để nhân giống
01041090,- - Loại khác
010420,- Dê:
01042010,- - Loại thuần chủng để nhân giống
01042090,- - Loại khác
0105,"Gia cầm sống, gồm các loại gà thuộc loài Gallus domesticus, vịt, ngan, ngỗng, gà tây và gà lôi"
#18,- Loại khối lượng không quá 185 g:
010511,- - Gà thuộc loài Gallus domesticus:
01051110,- - - Để nhân giống (SEN)
01051190,- - - Loại khác
010512,- - Gà tây:
01051210,- - - Để nhân giống (SEN)
01051290,- - - Loại khác
010513,"- - Vịt, ngan:"
01051310,- - - Để nhân giống (SEN)
01051390,- - - Loại khác
010514,- - Ngỗng:
01051410,- - - Để nhân giống (SEN)
01051490,- - - Loại khác
010515,- - Gà lôi:
01051510,- - - Để nhân giống (SEN)
01051590,- - - Loại khác
#19,- Loại khác:
010594,- - Gà thuộc loài Gallus domesticus:
01059410,"- - - Để nhân giống (SEN), trừ gà chọi"
#20,- - - Gà chọi:
01059441,- - - - Khối lượng không quá 2 kg
01059449,- - - - Loại khác
#21,- - - Loại khác:
01059491,- - - - Khối lượng không quá 2 kg
01059499,- - - - Loại khác
010599,- - Loại khác:
01059910,"- - - Vịt, ngan để nhân giống (SEN)"
01059920,"- - - Vịt, ngan loại khác"
01059930,"- - - Ngỗng, gà tây và gà lôi để nhân giống (SEN)"
01059940,"- - - Ngỗng, gà tây và gà lôi loại khác"
0106,Động vật sống khác
#22,- Động vật có vú:
01061100,- - Bộ động vật linh trưởng
010612,"- - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia); hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia):"
01061210,"- - - Cá voi, cá heo chuột và cá heo (động vật có vú thuộc bộ cá voi Cetacea); lợn biển và cá nược (động vật có vú thuộc bộ Sirenia)"
01061220,"- - - Hải cẩu, sư tử biển và hải mã (con moóc) (động vật có vú thuộc phân bộ Pinnipedia)"
01061300,- - Lạc đà và họ lạc đà (Camelidae)
01061400,- - Thỏ (Rabbits và hares)
01061900,- - Loại khác
01062000,- Loài bò sát (kể cả rắn và rùa)
#23,- Các loại chim:
01063100,- - Chim săn mồi 
01063200,"- - Vẹt (kể cả vẹt lớn châu Mỹ (parrots), vẹt nhỏ đuôi dài (parakeets), vẹt đuôi dài và vẹt có mào)"
01063300,- - Đà điểu; đà điểu châu Úc (Dromaius novaehollandiae)
01063900,- - Loại khác
#24,- Côn trùng:
01064100,- - Các loại ong
01064900,- - Loại khác
01069000,- Loại khác
#25,(SEN): Tham khảo Chú giải bổ sung (SEN) của Danh mục Thuế quan hài hòa ASEAN (AHTN) 2022
#26,Chương 2
#27,Thịt và phụ phẩm dạng thịt ăn được sau giết mổ
#28,Chú giải
#29,1. Chương này không bao gồm:
#30,"(a) Những sản phẩm thuộc loại đã được mô tả trong các nhóm 02.01 đến 02.08 hoặc 02.10, nhưng không thích hợp làm thức ăn cho người;"
#31,"(b) Côn trùng không còn sống, ăn được (nhóm 04.10);"
#32,"(c) Ruột, bong bóng hoặc dạ dày của động vật (nhóm 05.04) hoặc tiết động vật (nhóm 05.11 hoặc 30.02); hoặc"
#33,"(d) Mỡ động vật, trừ các sản phẩm của nhóm 02.09 (Chương 15)."
